Tournament, Gender, Date,Round,Player 1,Player 2,Score,Winner
Pittsburgh Open 2025,Men's,12 Feb 2025 • 16:45,Round 1,Cesar Salazar,Ramit Tandon,"0-3, 12-14, 4-11, 8-11, ---, ---",Ramit Tandon
Pittsburgh Open 2025,Men's,12 Feb 2025 • 17:00,Round 1,Karim El Hammamy,Yannik Omlor,"3-0, 11-7, 11-4, 11-4, ---, ---",Karim El Hammamy
Pittsburgh Open 2025,Men's,-,Round 1,BYE,Sebastien Bonmalais,"---, ---, ---, ---, ---, ---",Sebastien Bonmalais
Pittsburgh Open 2025,Men's,-,Round 1,Youssef Ibrahim,BYE,"---, ---, ---, ---, ---, ---",BYE
Pittsburgh Open 2025,Men's,12 Feb 2025 • 16:15,Round 1,Omar Mosaad,Moustafa Elsirty,"2-3, 12-10, 11-9, 8-11, 9-11, 10-12",Moustafa Elsirty
Pittsburgh Open 2025,Men's,12 Feb 2025 • 16:00,Round 1,Balazs Farkas,Yannick Wilhelmi,"2-3, 11-4, 7-11, 11-8, 10-12, 4-11",Yannick Wilhelmi
Pittsburgh Open 2025,Men's,-,Round 1,BYE,Victor Crouin,"---, ---, ---, ---, ---, ---",Victor Crouin
Pittsburgh Open 2025,Men's,-,Round 1,Youssef Soliman,BYE,"---, ---, ---, ---, ---, ---",BYE
Pittsburgh Open 2025,Men's,12 Feb 2025 • 18:15,Round 1,Jonah Bryant,Baptiste Masotti,"2-3, 11-5, 11-9, 8-11, 9-11, 8-11",Baptiste Masotti
Pittsburgh Open 2025,Men's,12 Feb 2025 • 18:30,Round 1,Mohamed Abouelghar,Simon Herbert,"3-1, 11-4, 9-11, 11-7, 11-1, ---",Mohamed Abouelghar
Pittsburgh Open 2025,Men's,-,Round 1,BYE,Dimitri Steinmann,"---, ---, ---, ---, ---, ---",Dimitri Steinmann
Pittsburgh Open 2025,Men's,-,Round 1,Greg Lobban,BYE,"---, ---, ---, ---, ---, ---",BYE
Pittsburgh Open 2025,Men's,12 Feb 2025 • 17:45,Round 1,Shahjahan Khan,Velavan Senthilkumar,"1-3, 7-11, 4-11, 11-9, 7-11, ---",Velavan Senthilkumar
Pittsburgh Open 2025,Men's,12 Feb 2025 • 17:30,Round 1,Juan Vargas,Hamza Khan,"3-1, 13-11, 7-11, 11-3, 11-4, ---",Juan Vargas
Pittsburgh Open 2025,Men's,-,Round 1,BYE,Joel Makin,"---, ---, ---, ---, ---, ---",Joel Makin
Cotidie Texas Open 2025,Men's,23 Feb 2025 • 17:00,Final,Ali Farag,Mostafa Asal,"3-1, 11-9, 11-4, 0-0, ---, ---",Ali Farag
Cotidie Texas Open 2025,Men's,22 Feb 2025 • 14:45,Semi final,Ali Farag,Victor Crouin,"3-1, 11-5, 3-11, 11-8, 11-8, ---",Ali Farag
Cotidie Texas Open 2025,Men's,22 Feb 2025 • 16:15,Semi final,Marwan Elshorbagy,Mostafa Asal,"0-3, 5-11, 2-11, 1-11, ---, ---",Mostafa Asal
Cotidie Texas Open 2025,Men's,21 Feb 2025 • 15:15,Quarter final,Ali Farag,Eain Yow Ng,"3-0, 11-6, 11-7, 11-8, ---, ---",Ali Farag
Cotidie Texas Open 2025,Men's,21 Feb 2025 • 13:45,Quarter final,Victor Crouin,Gregoire Marche,"3-1, 11-4, 10-12, 11-6, 11-4, ---",Victor Crouin
Cotidie Texas Open 2025,Men's,21 Feb 2025 • 19:15,Quarter final,Joel Makin,Marwan Elshorbagy,"2-3, 11-9, 11-8, 7-11, 5-11, 8-11",Marwan Elshorbagy
Cotidie Texas Open 2025,Men's,21 Feb 2025 • 17:45,Quarter final,Aly Abou Eleinen,Mostafa Asal,"2-3, 11-9, 9-11, 9-11, 11-5, 7-11",Mostafa Asal
Cotidie Texas Open 2025,Men's,19 Feb 2025 • 17:45,Round 2,Ali Farag,Youssef Ibrahim,"3-2, 12-10, 9-11, 11-5, 6-11, 11-6",Ali Farag
Cotidie Texas Open 2025,Men's,19 Feb 2025 • 19:15,Round 2,Curtis Malik,Eain Yow Ng,"0-3, 3-11, 5-11, 7-11, ---, ---",Eain Yow Ng
Cotidie Texas Open 2025,Men's,19 Feb 2025 • 13:45,Round 2,Victor Crouin,Nathan Lake,"3-0, 11-9, 11-5, 11-7, ---, ---",Victor Crouin
Cotidie Texas Open 2025,Men's,19 Feb 2025 • 15:15,Round 2,Gregoire Marche,Mohamed Elshorbagy,"3-0, 12-10, 11-4, 14-12, ---, ---",Gregoire Marche
Cotidie Texas Open 2025,Men's,20 Feb 2025 • 17:45,Round 2,Joel Makin,Raphael Kandra,"3-0, 11-4, 11-1, 11-6, ---, ---",Joel Makin
Cotidie Texas Open 2025,Men's,20 Feb 2025 • 19:15,Round 2,Nicolas Mueller,Marwan Elshorbagy,"---, ---, ---, ---, ---, ---",Marwan Elshorbagy
Cotidie Texas Open 2025,Men's,20 Feb 2025 • 13:45,Round 2,Youssef Soliman,Aly Abou Eleinen,"0-3, 8-11, 1-11, 5-11, ---, ---",Aly Abou Eleinen
Cotidie Texas Open 2025,Men's,20 Feb 2025 • 15:15,Round 2,Mohamed Abouelghar,Mostafa Asal,"0-3, 10-12, 4-11, 6-11, ---, ---",Mostafa Asal
Cotidie Texas Open 2025,Men's,-,Round 1,Ali Farag,BYE,"---, ---, ---, ---, ---, ---",BYE
Cotidie Texas Open 2025,Men's,18 Feb 2025 • 15:15,Round 1,Muhammad Ashab Irfan,Youssef Ibrahim,"1-3, 14-12, 3-11, 8-11, 10-12, ---",Youssef Ibrahim
Cotidie Texas Open 2025,Men's,18 Feb 2025 • 15:15,Round 1,Ramit Tandon,Curtis Malik,"2-3, 12-10, 6-11, 11-8, 1-11, 6-11",Curtis Malik
Cotidie Texas Open 2025,Men's,-,Round 1,BYE,Eain Yow Ng,"---, ---, ---, ---, ---, ---",Eain Yow Ng
Cotidie Texas Open 2025,Men's,-,Round 1,Victor Crouin,BYE,"---, ---, ---, ---, ---, ---",BYE
Cotidie Texas Open 2025,Men's,18 Feb 2025 • 13:45,Round 1,Nathan Lake,Timothy Brownell,"3-1, 9-11, 11-5, 11-7, 11-6, ---",Nathan Lake
Cotidie Texas Open 2025,Men's,18 Feb 2025 • 13:45,Round 1,Gregoire Marche,Juan Vargas,"3-1, 11-3, 8-11, 11-5, 11-6, ---",Gregoire Marche
Cotidie Texas Open 2025,Men's,-,Round 1,BYE,Mohamed Elshorbagy,"---, ---, ---, ---, ---, ---",Mohamed Elshorbagy
Cotidie Texas Open 2025,Men's,-,Round 1,Joel Makin,BYE,"---, ---, ---, ---, ---, ---",BYE
Cotidie Texas Open 2025,Men's,18 Feb 2025 • 17:45,Round 1,Auguste Dussourd,Raphael Kandra,"0-3, 4-11, 7-11, 11-13, ---, ---",Raphael Kandra
Cotidie Texas Open 2025,Men's,18 Feb 2025 • 19:15,Round 1,Nicolas Mueller,Salman Khalil,"3-0, 11-7, 11-3, 11-5, ---, ---",Nicolas Mueller
Cotidie Texas Open 2025,Men's,-,Round 1,BYE,Marwan Elshorbagy,"---, ---, ---, ---, ---, ---",Marwan Elshorbagy
Cotidie Texas Open 2025,Men's,-,Round 1,Youssef Soliman,BYE,"---, ---, ---, ---, ---, ---",BYE
Cotidie Texas Open 2025,Men's,18 Feb 2025 • 17:45,Round 1,Bernat Jaume,Aly Abou Eleinen,"0-3, 5-11, 3-11, 2-11, ---, ---",Aly Abou Eleinen
Cotidie Texas Open 2025,Men's,18 Feb 2025 • 19:15,Round 1,Mohamed Abouelghar,Balazs Farkas,"3-0, 14-12, 11-6, 11-3, ---, ---",Mohamed Abouelghar
Cotidie Texas Open 2025,Men's,-,Round 1,BYE,Mostafa Asal,"---, ---, ---, ---, ---, ---",Mostafa Asal
Cotidie Texas Open 2025,Women's,23 Feb 2025 • 16:00,Final,Nouran Gohar,Hania El Hammamy,"3-1, 11-8, 5-11, 11-6, 11-9, ---",Nouran Gohar
Cotidie Texas Open 2025,Women's,22 Feb 2025 • 14:00,Semi final,Nouran Gohar,Tinne Gilis,"3-0, 11-8, 11-7, 11-6, ---, ---",Nouran Gohar
Cotidie Texas Open 2025,Women's,22 Feb 2025 • 15:30,Semi final,Hania El Hammamy,Nour ElSherbini,"3-0, 11-8, 11-8, 11-8, ---, ---",Hania El Hammamy
Cotidie Texas Open 2025,Women's,21 Feb 2025 • 14:30,Quarter final,Nouran Gohar,Salma Hany,"3-0, 12-10, 14-12, 11-6, ---, ---",Nouran Gohar
Cotidie Texas Open 2025,Women's,21 Feb 2025 • 13:00,Quarter final,Nada Abbas,Tinne Gilis,"2-3, 9-11, 11-8, 11-4, 4-11, 8-11",Tinne Gilis
Cotidie Texas Open 2025,Women's,21 Feb 2025 • 18:30,Quarter final,Hania El Hammamy,Farida Mohamed,"3-0, 11-3, 11-7, 11-6, ---, ---",Hania El Hammamy
Cotidie Texas Open 2025,Women's,21 Feb 2025 • 17:00,Quarter final,Rowan Elaraby,Nour ElSherbini,"0-3, 10-12, 5-11, 4-11, ---, ---",Nour ElSherbini
Cotidie Texas Open 2025,Women's,19 Feb 2025 • 17:00,Round 2,Nouran Gohar,Tesni Murphy,"3-0, 11-4, 11-4, 11-7, ---, ---",Nouran Gohar
Cotidie Texas Open 2025,Women's,19 Feb 2025 • 18:30,Round 2,Lucy Beecroft,Salma Hany,"0-3, 5-11, 9-11, 9-11, ---, ---",Salma Hany
Cotidie Texas Open 2025,Women's,19 Feb 2025 • 13:00,Round 2,Nada Abbas,Nadine Shahin,"3-0, 11-8, 11-2, 11-3, ---, ---",Nada Abbas
Cotidie Texas Open 2025,Women's,19 Feb 2025 • 14:30,Round 2,Hana Moataz,Tinne Gilis,"2-3, 11-7, 4-11, 2-11, 11-7, 4-11",Tinne Gilis
Cotidie Texas Open 2025,Women's,20 Feb 2025 • 17:00,Round 2,Hania El Hammamy,Lucy Turmel,"3-1, 11-4, 8-11, 11-2, 11-5, ---",Hania El Hammamy
Cotidie Texas Open 2025,Women's,20 Feb 2025 • 18:30,Round 2,Ka Yi Lee,Farida Mohamed,"0-3, 8-11, 7-11, 5-11, ---, ---",Farida Mohamed
Cotidie Texas Open 2025,Women's,20 Feb 2025 • 13:00,Round 2,Rowan Elaraby,Mariam Metwally,"3-0, 11-7, 11-7, 11-8, ---, ---",Rowan Elaraby
Cotidie Texas Open 2025,Women's,20 Feb 2025 • 14:30,Round 2,Sana Ibrahim,Nour ElSherbini,"1-3, 8-11, 11-4, 6-11, 4-11, ---",Nour ElSherbini
Cotidie Texas Open 2025,Women's,-,Round 1,Nouran Gohar,BYE,"---, ---, ---, ---, ---, ---",BYE
Cotidie Texas Open 2025,Women's,18 Feb 2025 • 14:30,Round 1,Grace Gear,Tesni Murphy,"2-3, 11-13, 11-8, 7-11, 12-10, 8-11",Tesni Murphy
Cotidie Texas Open 2025,Women's,18 Feb 2025 • 14:30,Round 1,Lucy Beecroft,Zaina Zaidi,"3-0, 11-5, 11-5, 11-6, ---, ---",Lucy Beecroft
Cotidie Texas Open 2025,Women's,-,Round 1,BYE,Salma Hany,"---, ---, ---, ---, ---, ---",Salma Hany
Cotidie Texas Open 2025,Women's,-,Round 1,Nada Abbas,BYE,"---, ---, ---, ---, ---, ---",BYE
Cotidie Texas Open 2025,Women's,18 Feb 2025 • 13:00,Round 1,Nadine Shahin,Salma Eltayeb,"3-0, 11-6, 11-3, 11-3, ---, ---",Nadine Shahin
Cotidie Texas Open 2025,Women's,18 Feb 2025 • 13:00,Round 1,Hana Moataz,Kenzy Ayman,"3-1, 11-8, 11-8, 8-11, 11-5, ---",Hana Moataz
Cotidie Texas Open 2025,Women's,-,Round 1,BYE,Tinne Gilis,"---, ---, ---, ---, ---, ---",Tinne Gilis
Cotidie Texas Open 2025,Women's,-,Round 1,Hania El Hammamy,BYE,"---, ---, ---, ---, ---, ---",BYE
Cotidie Texas Open 2025,Women's,18 Feb 2025 • 18:30,Round 1,Madison Ho,Lucy Turmel,"0-3, 3-11, 7-11, 6-11, ---, ---",Lucy Turmel
Cotidie Texas Open 2025,Women's,18 Feb 2025 • 18:30,Round 1,Malak Khafagy,Ka Yi Lee,"1-3, 4-11, 7-11, 11-7, 7-11, ---",Ka Yi Lee
Cotidie Texas Open 2025,Women's,-,Round 1,BYE,Farida Mohamed,"---, ---, ---, ---, ---, ---",Farida Mohamed
Cotidie Texas Open 2025,Women's,-,Round 1,Rowan Elaraby,BYE,"---, ---, ---, ---, ---, ---",BYE
Cotidie Texas Open 2025,Women's,18 Feb 2025 • 17:00,Round 1,Menna Hamed,Mariam Metwally,"0-3, 7-11, 5-11, 6-11, ---, ---",Mariam Metwally
Cotidie Texas Open 2025,Women's,18 Feb 2025 • 17:00,Round 1,Sana Ibrahim,Nour Aboulmakarim,"3-0, 11-8, 11-8, 11-6, ---, ---",Sana Ibrahim
Cotidie Texas Open 2025,Women's,-,Round 1,BYE,Nour ElSherbini,"---, ---, ---, ---, ---, ---",Nour ElSherbini
Airsprint Private Aviation Canadian Men's Open 2025,Men's,28 Feb 2025 • 18:00,Final,Mohamed Elshorbagy,Leonel Cardenas,"3-0, 11-5, 11-5, 11-7, ---, ---",Mohamed Elshorbagy
Airsprint Private Aviation Canadian Men's Open 2025,Men's,27 Feb 2025 • 18:45,Semi final,Mohamed Elshorbagy,Dimitri Steinmann,"3-0, 11-5, 11-6, 11-6, ---, ---",Mohamed Elshorbagy
Airsprint Private Aviation Canadian Men's Open 2025,Men's,27 Feb 2025 • 18:00,Semi final,Leonel Cardenas,Victor Crouin,"3-2, 8-11, 11-8, 11-6, 8-11, 11-9",Leonel Cardenas
Airsprint Private Aviation Canadian Men's Open 2025,Men's,26 Feb 2025 • 18:30,Quarter final,Mohamed Elshorbagy,Gregoire Marche,"3-0, 11-6, 11-5, 11-6, ---, ---",Mohamed Elshorbagy
Airsprint Private Aviation Canadian Men's Open 2025,Men's,26 Feb 2025 • 19:15,Quarter final,Omar Mosaad,Dimitri Steinmann,"1-3, 11-7, 3-11, 8-11, 2-11, ---",Dimitri Steinmann
Airsprint Private Aviation Canadian Men's Open 2025,Men's,26 Feb 2025 • 17:00,Quarter final,Leonel Cardenas,Nathan Lake,"3-1, 12-10, 4-11, 11-7, 13-11, ---",Leonel Cardenas
Airsprint Private Aviation Canadian Men's Open 2025,Men's,26 Feb 2025 • 17:45,Quarter final,Nick Wall,Victor Crouin,"1-3, 5-11, 11-8, 8-11, 7-11, ---",Victor Crouin
Airsprint Private Aviation Canadian Men's Open 2025,Men's,25 Feb 2025 • 18:15,Round 2,Mohamed Elshorbagy,Kareem El Torkey,"3-0, 11-8, 11-4, 11-9, ---, ---",Mohamed Elshorbagy
Airsprint Private Aviation Canadian Men's Open 2025,Men's,25 Feb 2025 • 17:30,Round 2,Shahjahan Khan,Gregoire Marche,"0-3, 2-11, 6-11, 8-11, ---, ---",Gregoire Marche
Airsprint Private Aviation Canadian Men's Open 2025,Men's,25 Feb 2025 • 19:00,Round 2,Omar Mosaad,Charlie Lee,"3-2, 11-13, 8-11, 11-6, 12-10, 11-1",Omar Mosaad
Airsprint Private Aviation Canadian Men's Open 2025,Men's,25 Feb 2025 • 19:45,Round 2,Yannick Wilhelmi,Dimitri Steinmann,"2-3, 11-4, 7-11, 7-11, 11-6, 6-11",Dimitri Steinmann
Airsprint Private Aviation Canadian Men's Open 2025,Men's,25 Feb 2025 • 12:45,Round 2,Leonel Cardenas,Tom Walsh,"3-0, 11-6, 11-2, 11-9, ---, ---",Leonel Cardenas
Airsprint Private Aviation Canadian Men's Open 2025,Men's,25 Feb 2025 • 12:00,Round 2,Cesar Salazar,Nathan Lake,"0-3, 9-11, 6-11, 2-11, ---, ---",Nathan Lake
Airsprint Private Aviation Canadian Men's Open 2025,Men's,25 Feb 2025 • 16:45,Round 2,Nick Wall,Ronald Palomino,"3-0, 11-8, 11-8, 11-4, ---, ---",Nick Wall
Airsprint Private Aviation Canadian Men's Open 2025,Men's,25 Feb 2025 • 16:00,Round 2,Emyr Evans,Victor Crouin,"0-3, 5-11, 3-11, 8-11, ---, ---",Victor Crouin
Airsprint Private Aviation Canadian Men's Open 2025,Men's,-,Round 1,Mohamed Elshorbagy,BYE,"---, ---, ---, ---, ---, ---",BYE
Airsprint Private Aviation Canadian Men's Open 2025,Men's,24 Feb 2025 • 18:15,Round 1,Kareem El Torkey,Simon Herbert,"3-2, 12-10, 11-9, 8-11, 3-11, 11-1",Kareem El Torkey
Airsprint Private Aviation Canadian Men's Open 2025,Men's,24 Feb 2025 • 17:30,Round 1,Shahjahan Khan,Ben Smith,"3-1, 11-7, 12-14, 11-7, 11-9, ---",Shahjahan Khan
Airsprint Private Aviation Canadian Men's Open 2025,Men's,-,Round 1,BYE,Gregoire Marche,"---, ---, ---, ---, ---, ---",Gregoire Marche
Airsprint Private Aviation Canadian Men's Open 2025,Men's,-,Round 1,Omar Mosaad,BYE,"---, ---, ---, ---, ---, ---",BYE
Airsprint Private Aviation Canadian Men's Open 2025,Men's,24 Feb 2025 • 19:00,Round 1,Connor Turk,Charlie Lee,"0-3, 9-11, 8-11, 3-11, ---, ---",Charlie Lee
Airsprint Private Aviation Canadian Men's Open 2025,Men's,24 Feb 2025 • 19:45,Round 1,Yannick Wilhelmi,Daniel Poleshchuk,"3-1, 11-6, 11-4, 6-11, 11-7, ---",Yannick Wilhelmi
Airsprint Private Aviation Canadian Men's Open 2025,Men's,-,Round 1,BYE,Dimitri Steinmann,"---, ---, ---, ---, ---, ---",Dimitri Steinmann
Airsprint Private Aviation Canadian Men's Open 2025,Men's,-,Round 1,Leonel Cardenas,BYE,"---, ---, ---, ---, ---, ---",BYE
Airsprint Private Aviation Canadian Men's Open 2025,Men's,24 Feb 2025 • 12:00,Round 1,Spencer Lovejoy,Tom Walsh,"0-3, 4-11, 5-11, 6-11, ---, ---",Tom Walsh
Airsprint Private Aviation Canadian Men's Open 2025,Men's,24 Feb 2025 • 16:00,Round 1,Cesar Salazar,Liam Marrison,"3-0, 11-5, 11-8, 11-6, ---, ---",Cesar Salazar
Airsprint Private Aviation Canadian Men's Open 2025,Men's,-,Round 1,BYE,Nathan Lake,"---, ---, ---, ---, ---, ---",Nathan Lake
Airsprint Private Aviation Canadian Men's Open 2025,Men's,-,Round 1,Nick Wall,BYE,"---, ---, ---, ---, ---, ---",BYE
Airsprint Private Aviation Canadian Men's Open 2025,Men's,24 Feb 2025 • 16:45,Round 1,Ronald Palomino,David Baillargeon,"3-0, 11-4, 11-9, 11-7, ---, ---",Ronald Palomino
Airsprint Private Aviation Canadian Men's Open 2025,Men's,24 Feb 2025 • 12:45,Round 1,Emyr Evans,Jeremias Azaña,"3-1, 12-10, 11-7, 9-11, 11-4, ---",Emyr Evans
Airsprint Private Aviation Canadian Men's Open 2025,Men's,-,Round 1,BYE,Victor Crouin,"---, ---, ---, ---, ---, ---",Victor Crouin
QSF 2 2025,Men's,28 Feb 2025 • 15:00,Final,Tarek Momen,Karim Gawad,"2-3, 4-11, 12-10, 4-11, 11-8, 4-11",Karim Gawad
QSF 2 2025,Men's,27 Feb 2025 • 17:00,Semi final,Tarek Momen,Declan James,"3-1, 11-6, 5-11, 11-4, 11-2, ---",Tarek Momen
QSF 2 2025,Men's,27 Feb 2025 • 16:00,Semi final,Fares Dessouky,Karim Gawad,"1-3, 11-13, 11-8, 7-11, 2-11, ---",Karim Gawad
QSF 2 2025,Men's,26 Feb 2025 • 17:00,Quarter final,Tarek Momen,Yahya Elnawasany,"3-0, 11-6, 11-7, 11-8, ---, ---",Tarek Momen
QSF 2 2025,Men's,26 Feb 2025 • 18:00,Quarter final,Abdulla Al-Tamimi,Declan James,"1-3, 11-7, 3-11, 10-12, 3-11, ---",Declan James
QSF 2 2025,Men's,26 Feb 2025 • 15:00,Quarter final,Fares Dessouky,Sebastien Bonmalais,"3-0, 11-7, 11-6, 11-6, ---, ---",Fares Dessouky
QSF 2 2025,Men's,26 Feb 2025 • 16:00,Quarter final,Mohamad Zakaria,Karim Gawad,"1-3, 7-11, 11-7, 5-11, 5-11, ---",Karim Gawad
QSF 2 2025,Men's,25 Feb 2025 • 17:30,Round 2,Tarek Momen,George Parker,"3-0, 12-10, 11-9, 11-8, ---, ---",Tarek Momen
QSF 2 2025,Men's,25 Feb 2025 • 16:00,Round 2,Yahya Elnawasany,Mohamed ElSherbini,"3-0, 11-5, 14-12, 11-6, ---, ---",Yahya Elnawasany
QSF 2 2025,Men's,25 Feb 2025 • 18:15,Round 2,Abdulla Al-Tamimi,Rory Stewart,"3-0, 11-4, 11-7, 11-9, ---, ---",Abdulla Al-Tamimi
QSF 2 2025,Men's,25 Feb 2025 • 16:45,Round 2,Declan James,Nicolas Mueller,"3-0, 11-8, 11-5, 11-9, ---, ---",Declan James
QSF 2 2025,Men's,25 Feb 2025 • 13:00,Round 2,Fares Dessouky,Alex Lau,"3-1, 9-11, 11-5, 11-3, 11-5, ---",Fares Dessouky
QSF 2 2025,Men's,25 Feb 2025 • 13:45,Round 2,Patrick Rooney,Sebastien Bonmalais,"2-3, 10-12, 8-11, 11-4, 11-2, 9-11",Sebastien Bonmalais
QSF 2 2025,Men's,25 Feb 2025 • 14:30,Round 2,Mohamad Zakaria,Abhay Singh,"3-0, 11-6, 11-8, 11-6, ---, ---",Mohamad Zakaria
QSF 2 2025,Men's,25 Feb 2025 • 15:15,Round 2,Henry Leung,Karim Gawad,"1-3, 11-9, 7-11, 8-11, 9-11, ---",Karim Gawad
QSF 2 2025,Men's,-,Round 1,Tarek Momen,BYE,"---, ---, ---, ---, ---, ---",BYE
QSF 2 2025,Men's,24 Feb 2025 • 17:30,Round 1,Ibrahim Elkabbani,George Parker,"2-3, 12-10, 2-11, 4-11, 11-9, 1-11",George Parker
QSF 2 2025,Men's,24 Feb 2025 • 16:00,Round 1,Yahya Elnawasany,Aly Hussein,"3-2, 11-7, 11-8, 9-11, 9-11, 11-6",Yahya Elnawasany
QSF 2 2025,Men's,-,Round 1,BYE,Mohamed ElSherbini,"---, ---, ---, ---, ---, ---",Mohamed ElSherbini
QSF 2 2025,Men's,-,Round 1,Abdulla Al-Tamimi,BYE,"---, ---, ---, ---, ---, ---",BYE
QSF 2 2025,Men's,24 Feb 2025 • 18:15,Round 1,Rui Soares,Rory Stewart,"2-3, 0-11, 11-9, 11-7, 8-11, 18-20",Rory Stewart
QSF 2 2025,Men's,24 Feb 2025 • 16:45,Round 1,Declan James,Moustafa Elsirty,"3-1, 11-6, 9-11, 11-4, 11-6, ---",Declan James
QSF 2 2025,Men's,-,Round 1,BYE,Nicolas Mueller,"---, ---, ---, ---, ---, ---",Nicolas Mueller
QSF 2 2025,Men's,-,Round 1,Fares Dessouky,BYE,"---, ---, ---, ---, ---, ---",BYE
QSF 2 2025,Men's,24 Feb 2025 • 13:00,Round 1,Muhammad Asim Khan,Alex Lau,"2-3, 11-9, 6-11, 2-11, 11-7, 4-11",Alex Lau
QSF 2 2025,Men's,24 Feb 2025 • 13:45,Round 1,Karim El Hammamy,Patrick Rooney,"0-3, 7-11, 7-11, 8-11, ---, ---",Patrick Rooney
QSF 2 2025,Men's,-,Round 1,BYE,Sebastien Bonmalais,"---, ---, ---, ---, ---, ---",Sebastien Bonmalais
QSF 2 2025,Men's,-,Round 1,Mohamad Zakaria,BYE,"---, ---, ---, ---, ---, ---",BYE
QSF 2 2025,Men's,24 Feb 2025 • 14:30,Round 1,Ryunosuke Tsukue,Abhay Singh,"0-3, 5-11, 3-11, 4-11, ---, ---",Abhay Singh
QSF 2 2025,Men's,24 Feb 2025 • 15:15,Round 1,Henry Leung,Waleed Zaman,"3-1, 11-8, 11-6, 13-15, 11-3, ---",Henry Leung
QSF 2 2025,Men's,-,Round 1,BYE,Karim Gawad,"---, ---, ---, ---, ---, ---",Karim Gawad
New Zealand Open 2025,Men's,09 Mar 2025 • 16:00,Final,Paul Coll,Marwan Elshorbagy,"3-1, 11-5, 8-11, 11-6, 11-3, ---",Paul Coll
New Zealand Open 2025,Men's,08 Mar 2025 • 19:30,Semi final,Paul Coll,Baptiste Masotti,"3-1, 9-11, 11-7, 11-6, 11-8, ---",Paul Coll
New Zealand Open 2025,Men's,08 Mar 2025 • 20:15,Semi final,Eain Yow Ng,Marwan Elshorbagy,"0-3, 9-11, 8-11, 4-11, ---, ---",Marwan Elshorbagy
New Zealand Open 2025,Men's,07 Mar 2025 • 18:00,Quarter final,Paul Coll,Sebastien Bonmalais,"3-0, 11-8, 11-6, 12-10, ---, ---",Paul Coll
New Zealand Open 2025,Men's,07 Mar 2025 • 15:30,Quarter final,Baptiste Masotti,Auguste Dussourd,"3-1, 5-11, 12-10, 11-9, 11-5, ---",Baptiste Masotti
New Zealand Open 2025,Men's,07 Mar 2025 • 16:15,Quarter final,Eain Yow Ng,Sanjay Jeeva,"3-0, 11-2, 11-6, 11-5, ---, ---",Eain Yow Ng
New Zealand Open 2025,Men's,07 Mar 2025 • 19:30,Quarter final,Iker Pajares,Marwan Elshorbagy,"0-3, 12-14, 2-11, 8-11, ---, ---",Marwan Elshorbagy
New Zealand Open 2025,Men's,06 Mar 2025 • 17:30,Round 2,Paul Coll,Ryunosuke Tsukue,"3-0, 11-3, 11-6, 11-6, ---, ---",Paul Coll
New Zealand Open 2025,Men's,05 Mar 2025 • 18:45,Round 2,Henry Leung,Sebastien Bonmalais,"0-3, 9-11, 5-11, 9-11, ---, ---",Sebastien Bonmalais
New Zealand Open 2025,Men's,05 Mar 2025 • 12:45,Round 2,Baptiste Masotti,Yahya Elnawasany,"3-1, 3-11, 11-9, 11-7, 11-3, ---",Baptiste Masotti
New Zealand Open 2025,Men's,05 Mar 2025 • 14:15,Round 2,Auguste Dussourd,Greg Lobban,"3-1, 4-11, 16-14, 11-8, 11-9, ---",Auguste Dussourd
New Zealand Open 2025,Men's,06 Mar 2025 • 14:15,Round 2,Eain Yow Ng,Oliver Dunbar,"3-0, 11-4, 11-1, 11-3, ---, ---",Eain Yow Ng
New Zealand Open 2025,Men's,06 Mar 2025 • 12:45,Round 2,Sanjay Jeeva,Abdulla Al-Tamimi,"3-2, 10-12, 11-9, 11-6, 5-11, 11-6",Sanjay Jeeva
New Zealand Open 2025,Men's,06 Mar 2025 • 20:30,Round 2,Iker Pajares,Abhay Singh,"3-0, 11-9, 14-12, 12-10, ---, ---",Iker Pajares
New Zealand Open 2025,Men's,06 Mar 2025 • 19:00,Round 2,Bernat Jaume,Marwan Elshorbagy,"0-3, 9-11, 8-11, 8-11, ---, ---",Marwan Elshorbagy
New Zealand Open 2025,Men's,-,Round 1,Paul Coll,BYE,"---, ---, ---, ---, ---, ---",BYE
New Zealand Open 2025,Men's,04 Mar 2025 • 14:15,Round 1,Ryunosuke Tsukue,Velavan Senthilkumar,"3-1, 11-2, 7-11, 11-7, 11-1, ---",Ryunosuke Tsukue
New Zealand Open 2025,Men's,04 Mar 2025 • 14:15,Round 1,Henry Leung,Daniel Poleshchuk,"3-2, 8-11, 11-7, 11-6, 6-11, 11-6",Henry Leung
New Zealand Open 2025,Men's,-,Round 1,BYE,Sebastien Bonmalais,"---, ---, ---, ---, ---, ---",Sebastien Bonmalais
New Zealand Open 2025,Men's,-,Round 1,Baptiste Masotti,BYE,"---, ---, ---, ---, ---, ---",BYE
New Zealand Open 2025,Men's,04 Mar 2025 • 12:45,Round 1,Joseph White,Yahya Elnawasany,"0-3, 7-11, 5-11, 3-11, ---, ---",Yahya Elnawasany
New Zealand Open 2025,Men's,04 Mar 2025 • 12:45,Round 1,Auguste Dussourd,Edwin Clain,"3-2, 13-11, 9-11, 5-11, 11-4, 11-7",Auguste Dussourd
New Zealand Open 2025,Men's,-,Round 1,BYE,Greg Lobban,"---, ---, ---, ---, ---, ---",Greg Lobban
